g.nR.d	g.nR.s	l.cnt	g_entrez_emt	g_tcga_gbm	g_escSig_eed	g_escSig_esTF	g_escSig_exp1	g_escSig_exp2	g_escSig_h3k27	g_escSig_myc	g_escSig_nanog	g_escSig_nos	g_escSig_oct4	g_escSig_prc2	g_escSig_sox2	g_escSig_suz12	g_fa	g_scm_pluri	g_siR	g_entrez_Ca
6790	AURKA	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0
9212	AURKB	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
6795	AURKC	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10677	AVIL	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
558	AXL	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
572	BAD	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
575	BAI1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
577	BAI3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25805	BAMBI	5	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0
581	BAX	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
9564	BCAR1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
53335	BCL11A	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64919	BCL11B	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
596	BCL2	8	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1
598	BCL2L1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10018	BCL2L11	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83596	BCL2L12	3	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
23786	BCL2L13	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
613	BCR	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
637	BID	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
638	BIK	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
332	BIRC5	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
654	BMP6	3	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
657	BMPR1A	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
658	BMPR1B	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
673	BRAF	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
672	BRCA1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
675	BRCA2	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
84446	BRSK1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7832	BTG2	5	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
701	BUB1B	7	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0	0
56672	C11orf17	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147339	C18orf25	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10882	C1QL1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
140688	C20orf112	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140706	C20orf160	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25980	C20orf4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25775	C22orf24	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9315	C5orf13	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
829	CAPZA1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
830	CAPZA2	5	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0
842	CASP9	4	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0
831	CAST	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
867	CBL	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
891	CCNB1	4	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0
595	CCND1	5	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1
894	CCND2	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
898	CCNE1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
4179	CD46	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8872	CDC123	3	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
998	CDC42	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1017	CDK2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1019	CDK4	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
1021	CDK6	4	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
1024	CDK8	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6792	CDKL5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1027	CDKN1B	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1028	CDKN1C	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1029	CDKN2A	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1030	CDKN2B	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1031	CDKN2C	5	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
1033	CDKN3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
634	CEACAM1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1050	CEBPA	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
27440	CECR5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1063	CENPF	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116986	CENTG1	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
79984	CES3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1080	CFTR	4	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
1103	CHAT	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26038	CHD5	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1111	CHEK1	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
11200	CHEK2	4	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
1116	CHI3L1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1117	CHI3L2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26511	CHIC2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10752	CHL1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1123	CHN1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7122	CLDN5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1192	CLIC1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1271	CNTFR	5	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
1277	COL1A1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1278	COL1A2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1281	COL3A1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1292	COL6A2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1398	CRK	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
1410	CRYAB	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1436	CSF1R	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1454	CSNK1E	5	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
10106	CTDSP2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1512	CTSH	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8451	CUL4A	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57007	CXCR7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1540	CYLD	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1594	CYP27B1	6	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
1571	CYP2E1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1576	CYP3A4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1613	DAPK3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1621	DBH	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9201	DCLK1	4	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
1641	DCX	3	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
1662	DDX10	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
9681	DEPDC5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8527	DGKD	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1608	DGKG	6	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
160851	DGKH	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55526	DHTKD1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1755	DMBT1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3337	DNAJB1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1785	DNM2	4	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
1793	DOCK1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1804	DPP6	3	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
10570	DPYSL4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
667	DST	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
196403	DTX3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8445	DYRK2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1869	E2F1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1876	E2F6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2202	EFEMP1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1956	EGFR	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
1977	EIF4E	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1993	ELAVL2	5	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
1996	ELAVL4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2014	EMP3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55740	ENAH	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
2033	EP300	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
57634	EP400	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	EPHA2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2042	EPHA3	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
2043	EPHA4	3	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
2045	EPHA7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2060	EPS15	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2064	ERBB2	5	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1
55914	ERBB2IP	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2065	ERBB3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2113	ETS1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2171	FABP5	3	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
2173	FABP7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25895	FAM119B	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55294	FBXW7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2241	FER	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2246	FGF1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2249	FGF4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2254	FGF9	5	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
2260	FGFR1	6	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0
2263	FGFR2	6	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1
2261	FGFR3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81608	FIP1L1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2313	FLI1	5	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
2321	FLT1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2324	FLT4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114793	FMNL2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2335	FN1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2308	FOXO1	7	0	1	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0
2309	FOXO3	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4303	FOXO4	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
2475	FRAP1	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
5045	FURIN	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2549	GAB1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2550	GABBR1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10912	GADD45G	5	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
2621	GAS6	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2625	GATA3	5	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
57798	GATAD1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2729	GCLC	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
9518	GDF15	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115557	GEFT	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2691	GHRH	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2735	GLI1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2736	GLI2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2737	GLI3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2765	GML	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2770	GNAI1	4	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
2778	GNAS	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
9950	GOLGA5	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
57120	GOPC	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10457	GPNMB	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27201	GPR78	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2887	GRB10	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2885	GRB2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
2891	GRIA2	6	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1
2909	GRLF1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2896	GRN	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170825	GSX2	5	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
2993	GYPA	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2994	GYPB	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2995	GYPC	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
3002	GZMB	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3014	H2AFX	5	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
3055	HCK	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3083	HGFAC	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3092	HIP1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3133	HLA-E	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3135	HLA-G	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3159	HMGA1	4	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
8091	HMGA2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3148	HMGB2	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
6927	HNF1A	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3211	HOXB1	5	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
3213	HOXB3	5	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
3214	HOXB4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3218	HOXB8	5	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
3265	HRAS	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
3320	HSP90AA1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3312	HSPA8	4	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0
3364	HUS1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3399	ID3	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3452	IFNA21	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3480	IGF1R	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3485	IGFBP2	3	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
3486	IGFBP3	4	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
3596	IL13	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3600	IL15	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
